StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,pref1_1,pref1_2,pref1_3,pref2_1,pref2_2,pref2_3,pref3_1,pref3_2,pref3_3,pref4_1,pref4_2,pref4_3,pref5_1,pref5_2,pref5_3,pref6_1,pref6_2,pref6_3,pref7_1,pref7_2,pref7_3,pref8_1,pref8_2,pref8_3,pref9_1,pref9_2,pref9_3,pref10_1,pref10_2,pref10_3,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,Gender,Age,issues,mTurkCode
12/8/17 12:31,12/8/17 12:31,0,100,36,1,12/8/17 12:31,,,,,anonymous,EN,2,1,1,2,2,1,2,1,2,1,3,5,3,2,3,2,2,2,4,3,2,3,4,3,3,3,2,3,5,3,4,4,2,2,4,4,3,2,3,4,4,3,3,4,3,5,3,5,2,3,1,26,0,89169
12/8/17 12:31,12/8/17 12:32,0,100,91,1,12/8/17 12:32,,,,,anonymous,EN,2,2,2,2,2,2,2,2,2,2,1,5,5,2,5,4,1,4,5,1,5,5,1,5,5,1,5,5,1,5,5,1,4,1,1,5,5,1,5,5,7,7,7,7,7,7,7,7,7,7,1,30,N/A,25284
12/8/17 12:30,12/8/17 12:33,0,100,133,1,12/8/17 12:33,,,,,anonymous,EN,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,27,No,31629
12/8/17 12:30,12/8/17 12:33,0,100,157,1,12/8/17 12:33,,,,,anonymous,EN,1,2,1,1,1,2,1,2,1,1,2,4,4,3,4,4,2,4,3,3,2,4,2,2,3,3,5,5,2,4,4,3,4,5,3,3,4,2,5,3,1,3,1,2,1,2,2,3,2,1,1,30,nope,97243
12/8/17 12:31,12/8/17 12:34,0,100,188,1,12/8/17 12:34,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,2,1,4,3,2,3,5,5,5,3,2,3,4,5,5,3,3,3,1,5,1,3,1,3,3,2,4,3,4,2,1,3,1,1,1,1,1,2,1,2,2,22,No,42940
12/8/17 12:31,12/8/17 12:34,0,100,160,1,12/8/17 12:34,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,5,2,4,2,4,4,3,3,3,2,2,3,2,2,2,2,2,3,4,1,3,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,23,No,84679
12/8/17 12:31,12/8/17 12:34,0,100,200,1,12/8/17 12:34,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,5,5,2,4,5,3,3,5,3,2,3,3,3,5,2,1,3,2,1,4,2,5,3,2,5,3,3,1,3,1,1,1,1,1,1,1,1,1,1,2,52,None,69029
12/8/17 12:31,12/8/17 12:34,0,100,216,1,12/8/17 12:34,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,3,4,3,5,3,4,3,4,5,5,5,5,5,5,2,4,3,2,5,2,2,1,3,3,3,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,34,No.,69415
12/8/17 12:31,12/8/17 12:34,0,100,186,1,12/8/17 12:34,,,,,anonymous,EN,2,2,2,1,1,1,2,1,1,1,5,5,5,4,5,5,5,5,5,4,4,5,5,3,5,4,5,5,3,5,5,3,1,3,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,63,No,84945
12/8/17 12:30,12/8/17 12:34,0,100,230,1,12/8/17 12:34,,,,,anonymous,EN,1,1,1,1,1,1,2,1,1,1,3,4,5,2,4,4,5,4,5,4,4,5,4,4,4,3,3,5,2,5,5,2,5,5,3,4,4,4,3,5,2,1,2,1,2,1,1,2,1,1,1,23,nope,51819
12/8/17 12:31,12/8/17 12:34,0,100,230,1,12/8/17 12:34,,,,,anonymous,EN,1,2,2,1,1,1,2,1,2,2,4,2,5,2,5,5,3,5,3,3,2,5,4,1,5,2,3,5,3,5,4,2,2,4,2,5,3,5,5,5,1,3,1,1,1,1,3,2,3,1,2,27,NONE,42287
12/8/17 12:31,12/8/17 12:34,0,100,235,1,12/8/17 12:34,,,,,anonymous,EN,1,1,1,1,1,1,2,1,1,1,4,3,4,3,4,3,4,5,4,4,2,4,4,4,5,3,4,4,4,5,4,3,3,4,3,4,4,3,4,3,3,3,3,3,1,3,3,3,3,2,1,34,no,35591
12/8/17 12:31,12/8/17 12:35,0,100,255,1,12/8/17 12:35,,,,,anonymous,EN,1,2,1,1,1,1,2,1,1,1,3,4,3,1,3,2,3,4,4,2,2,3,3,2,4,2,1,3,1,5,3,1,2,2,2,1,3,3,2,3,2,3,2,2,2,3,3,3,1,3,1,27,no,99334
12/8/17 12:33,12/8/17 12:35,0,100,166,1,12/8/17 12:35,,,,,anonymous,EN,2,2,2,1,1,1,2,2,2,1,4,4,4,4,5,3,4,4,5,3,5,5,4,3,4,2,4,2,3,5,4,2,4,3,3,5,5,4,2,5,1,2,2,2,1,1,3,2,2,2,1,34,none,91673
12/8/17 12:31,12/8/17 12:36,0,100,306,1,12/8/17 12:36,,,,,anonymous,EN,2,2,2,2,2,2,2,2,2,2,1,5,3,1,1,5,1,5,3,1,3,3,1,3,5,1,5,5,1,5,5,1,5,5,1,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,2,37,None,66407
12/8/17 12:31,12/8/17 12:36,0,100,331,1,12/8/17 12:36,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,2,3,5,4,3,5,5,4,5,5,3,3,5,5,4,5,3,5,5,2,5,2,3,3,5,3,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,58,no,62572
12/8/17 12:35,12/8/17 12:36,0,100,46,1,12/8/17 12:36,,,,,anonymous,EN,1,2,1,2,2,2,2,1,1,1,2,3,4,2,3,3,2,3,4,3,2,2,5,2,3,3,2,2,3,4,3,3,1,2,2,4,2,4,2,3,5,2,2,2,3,3,3,3,4,4,1,26,,20477
12/8/17 12:31,12/8/17 12:36,0,100,334,1,12/8/17 12:36,,,,,anonymous,EN,1,1,1,1,1,2,2,1,1,1,3,4,4,4,1,5,4,4,5,3,2,4,3,3,5,3,4,4,2,4,4,3,5,5,3,3,4,4,5,4,3,4,3,3,3,4,4,3,4,3,2,57,no,30898
12/8/17 12:31,12/8/17 12:37,0,100,375,1,12/8/17 12:37,,,,,anonymous,EN,1,2,1,1,1,1,1,2,1,1,3,3,5,3,3,3,3,5,4,2,2,2,4,3,5,2,4,3,2,3,3,2,5,3,3,2,3,2,4,2,2,2,1,1,1,3,3,4,1,1,1,42,No,91991
12/8/17 12:34,12/8/17 12:38,0,100,209,1,12/8/17 12:38,,,,,anonymous,EN,1,2,1,1,1,1,2,2,1,2,4,3,5,3,4,4,3,4,3,3,5,4,3,4,4,3,5,5,3,4,5,3,5,4,3,2,5,2,4,3,3,3,2,3,4,2,2,3,1,2,3,25,none,62390
12/8/17 12:34,12/8/17 12:38,0,100,249,1,12/8/17 12:38,,,,,anonymous,EN,2,2,2,1,2,2,2,2,2,2,3,5,5,2,5,4,3,5,5,3,3,4,2,4,2,4,5,4,3,5,5,3,4,3,2,5,5,5,5,5,3,2,6,1,1,3,2,2,3,1,2,34,I did not run into any issues with this survey.,66149
12/8/17 12:31,12/8/17 12:38,0,100,435,1,12/8/17 12:38,,,,,anonymous,EN,2,1,1,1,1,1,1,1,2,1,1,4,5,4,5,3,5,3,5,3,4,5,4,4,5,1,4,5,3,4,5,4,3,4,1,2,4,4,2,5,5,3,1,1,1,4,2,4,5,3,1,26,Nope,59885
12/8/17 12:32,12/8/17 12:39,0,100,398,1,12/8/17 12:39,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,5,2,5,3,1,1,1,3,1,5,1,1,4,2,5,5,1,5,5,1,3,5,3,5,4,1,1,1,1,1,1,1,1,1,1,2,59,NO,99207
12/8/17 12:36,12/8/17 12:39,0,100,175,1,12/8/17 12:39,,,,,anonymous,EN,1,2,1,2,1,2,2,2,2,2,5,2,5,3,5,3,5,5,5,3,5,4,5,4,5,3,5,3,3,5,3,3,5,4,3,5,5,3,5,5,2,2,2,3,1,7,2,2,2,1,1,30,,87590
12/8/17 12:39,12/8/17 12:40,0,100,94,1,12/8/17 12:40,,,,,anonymous,EN,2,1,1,1,1,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,2,1,1,4,6,1,4,2,2,20,,26467
12/8/17 12:34,12/8/17 12:41,0,100,448,1,12/8/17 12:41,,,,,anonymous,EN,1,1,1,1,2,1,2,2,2,2,1,2,2,2,4,4,2,4,3,4,3,4,2,3,1,1,4,1,3,5,4,3,2,2,1,5,3,4,4,3,2,1,1,3,1,2,3,3,1,3,1,32,No,42973
12/8/17 12:40,12/8/17 12:41,0,100,77,1,12/8/17 12:41,,,,,anonymous,EN,2,2,2,2,2,1,1,1,1,2,4,1,3,3,4,3,5,1,3,5,3,4,5,2,3,4,5,3,1,4,1,2,5,2,1,1,3,3,1,5,7,3,3,3,3,3,6,7,3,5,1,25,no,11256
12/8/17 12:34,12/8/17 12:41,0,100,443,1,12/8/17 12:41,,,,,anonymous,EN,1,2,1,1,1,2,2,2,2,1,1,4,2,1,1,3,2,5,4,1,2,1,2,4,5,1,1,1,2,3,2,1,4,2,1,1,5,4,3,3,3,4,5,2,3,5,3,6,4,2,2,32,no,47256
12/8/17 12:37,12/8/17 12:42,0,100,317,1,12/8/17 12:42,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,2,4,1,5,1,3,2,5,1,4,1,3,2,4,2,4,2,3,5,3,1,2,2,2,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,2,53,no problems,87173
12/8/17 12:42,12/8/17 12:45,0,100,198,1,12/8/17 12:45,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,4,4,5,3,4,5,3,5,4,1,3,2,4,1,5,3,4,5,2,5,3,3,5,5,3,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,29,no,90698
12/8/17 12:40,12/8/17 12:45,0,100,308,1,12/8/17 12:45,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,3,5,3,4,5,5,5,5,3,3,4,3,3,5,2,5,5,3,5,4,3,5,5,2,4,4,3,5,4,1,2,1,1,1,2,2,1,1,1,2,23,No,37279
12/8/17 12:45,12/8/17 12:47,0,100,147,1,12/8/17 12:47,,,,,anonymous,EN,2,2,2,1,1,2,2,2,2,2,2,3,3,2,4,4,4,4,5,3,4,4,3,3,4,2,4,4,3,4,3,2,3,3,2,3,4,3,4,3,4,3,2,3,3,3,3,3,2,2,2,33,,64793
12/8/17 12:47,12/8/17 12:50,0,100,182,1,12/8/17 12:50,,,,,anonymous,EN,1,1,1,2,2,1,2,2,2,1,3,2,1,3,2,4,4,3,3,4,2,2,1,2,3,3,2,1,3,4,3,2,4,3,3,3,4,2,2,4,4,4,3,2,5,2,3,6,4,5,1,24,none,16504
12/8/17 12:46,12/8/17 12:51,0,100,315,1,12/8/17 12:51,,,,,anonymous,EN,1,1,1,1,1,2,1,1,1,1,4,3,4,2,3,3,3,3,3,2,2,2,3,1,3,2,3,4,3,3,3,2,4,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,21,I had never tried many of the foods I was asked about.,62451
12/8/17 12:52,12/8/17 12:53,0,100,30,1,12/8/17 12:53,,,,,anonymous,EN,2,2,2,2,2,2,1,1,2,1,5,5,3,2,3,1,3,2,2,2,3,2,1,3,4,4,4,3,5,3,4,1,2,5,1,1,1,2,5,5,2,7,5,3,2,1,3,6,5,2,1,28,,13682
12/8/17 12:42,12/8/17 12:53,0,100,678,1,12/8/17 12:53,,,,,anonymous,EN,1,1,2,1,1,2,2,2,1,2,3,1,4,1,1,4,4,4,4,1,3,1,2,1,4,1,3,4,1,4,2,1,3,4,1,1,1,1,3,1,2,2,3,2,4,2,2,2,2,2,1,29,,56970
12/8/17 12:54,12/8/17 12:55,0,100,37,1,12/8/17 12:55,,,,,anonymous,EN,2,2,2,1,1,2,2,1,2,1,3,2,5,2,4,1,1,4,1,3,4,5,1,4,5,3,2,1,5,4,2,2,3,4,2,5,5,1,2,1,5,5,2,6,3,7,3,3,5,5,1,28,,40575
12/8/17 12:51,12/8/17 12:56,0,100,258,1,12/8/17 12:56,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,4,4,2,5,2,4,2,4,4,5,4,3,5,1,5,1,2,3,2,4,4,5,3,1,3,1,1,1,1,1,1,1,1,1,1,1,27,No issues at all. Thanks!,21590
12/8/17 12:47,12/8/17 12:56,0,100,501,1,12/8/17 12:56,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,2,5,2,3,5,4,4,4,2,3,4,3,4,5,2,3,4,3,5,3,3,4,5,2,2,3,3,2,3,2,2,2,1,1,1,1,2,2,2,1,55,no,85692
12/8/17 12:56,12/8/17 12:57,0,100,72,1,12/8/17 12:57,,,,,anonymous,EN,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,26,,84183
12/8/17 12:54,12/8/17 12:57,0,100,199,1,12/8/17 12:57,,,,,anonymous,EN,2,2,1,2,1,1,2,2,2,1,1,4,4,3,4,4,2,4,3,2,3,4,3,2,4,1,3,4,2,4,4,1,3,3,1,2,3,3,4,4,3,2,2,2,1,3,2,3,2,2,1,21,,60184
12/8/17 12:54,12/8/17 12:58,0,100,259,1,12/8/17 12:58,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,2,4,4,1,4,3,2,5,4,1,3,3,2,3,3,1,5,5,1,5,4,1,5,5,1,3,2,2,5,4,2,1,1,1,2,1,1,1,1,1,1,30,none,88709
12/8/17 12:57,12/8/17 13:00,0,100,141,1,12/8/17 13:00,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,3,4,4,3,4,5,4,5,5,3,4,5,3,4,3,3,2,5,4,5,5,3,5,4,3,3,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,38,N/A,51484
12/8/17 12:57,12/8/17 13:00,0,100,209,1,12/8/17 13:00,,,,,anonymous,EN,1,1,1,1,1,2,1,1,1,1,5,2,5,4,4,5,3,2,3,3,1,4,3,3,3,3,5,3,3,3,4,3,4,4,3,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,42,"No, very straightforward.",38777
12/8/17 12:57,12/8/17 13:05,0,100,465,1,12/8/17 13:05,,,,,anonymous,EN,1,2,1,2,1,1,1,1,2,2,4,3,2,3,4,2,4,4,3,4,4,2,3,2,3,3,2,2,5,3,3,2,4,4,2,4,4,2,2,3,6,3,4,6,4,6,6,2,4,4,2,26,,67217
12/8/17 13:09,12/8/17 13:11,0,100,123,1,12/8/17 13:11,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,3,5,4,4,5,5,2,5,3,5,5,5,5,5,4,5,5,3,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,23,N/A,40795
12/8/17 13:12,12/8/17 13:15,0,100,176,1,12/8/17 13:15,,,,,anonymous,EN,1,1,2,1,2,1,2,1,2,2,3,3,4,3,2,3,3,4,3,2,2,4,2,4,4,2,3,3,1,4,4,2,4,4,1,4,3,2,4,2,5,5,5,3,3,2,2,4,5,5,1,26,No issues!,62953
12/8/17 12:38,12/8/17 13:16,0,100,2282,1,12/8/17 13:16,,,,,anonymous,EN,1,2,2,1,2,2,2,2,1,1,4,5,5,3,5,5,3,5,4,4,4,5,3,5,3,4,5,5,4,5,4,3,4,4,4,3,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,26,no,63441
12/8/17 13:17,12/8/17 13:19,0,100,139,1,12/8/17 13:19,,,,,anonymous,EN,2,1,1,1,2,1,2,2,1,1,3,5,3,3,1,4,3,2,3,4,2,4,4,3,4,3,1,4,3,4,4,3,3,3,4,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,31,,94119
12/8/17 13:26,12/8/17 13:31,0,100,321,1,12/8/17 13:31,,,,,anonymous,EN,1,1,1,1,1,2,1,1,2,1,5,5,5,2,3,3,5,5,5,3,4,4,2,3,3,1,5,5,5,5,5,3,5,3,1,5,5,3,1,3,1,1,1,1,1,1,1,1,1,1,2,45,no,11232
12/8/17 13:30,12/8/17 13:35,0,100,304,1,12/8/17 13:35,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,2,2,4,4,1,2,2,2,4,3,2,2,3,2,4,3,1,4,3,2,5,3,2,5,3,1,2,1,1,5,1,3,2,2,2,3,2,3,3,1,3,1,68,no,44629
12/8/17 13:33,12/8/17 13:35,0,100,159,1,12/8/17 13:35,,,,,anonymous,EN,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,5,3,3,3,4,2,26,no,92571
12/8/17 13:34,12/8/17 13:36,0,100,126,1,12/8/17 13:36,,,,,anonymous,EN,2,2,2,2,2,2,2,2,1,2,2,3,5,1,2,5,2,5,4,2,2,3,1,5,4,1,5,5,3,5,5,3,5,5,2,2,4,2,5,3,3,5,5,5,4,5,4,4,4,4,1,33,no,67078
12/8/17 13:32,12/8/17 13:37,0,100,314,1,12/8/17 13:37,,,,,anonymous,EN,2,1,2,1,1,1,2,1,2,1,5,4,5,2,3,4,4,5,5,3,2,4,3,3,4,2,4,3,3,5,4,3,4,5,2,4,5,3,5,4,5,5,6,2,2,4,7,2,3,5,1,27,no,44432
12/8/17 13:42,12/8/17 13:48,0,100,341,1,12/8/17 13:48,,,,,anonymous,EN,1,1,2,1,2,1,1,1,1,1,4,2,4,2,1,3,4,3,4,3,3,1,4,4,4,1,1,1,3,1,2,1,1,1,3,5,2,3,1,1,2,2,2,2,2,2,2,2,2,2,1,36,,68117